New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	1	1.623622	2.650167	-2.139663	1.623622	2.650167	-2.139663	1.623622	2.650167	-2.139663	3	Direct	1	0	0	1	0
N	1	1.620144	2.647693	-2.140379	1.620144	2.647693	-2.140379	1.620144	2.647693	-2.140379	3	In-direct	0	1	0	1	0
N	1	2.228106	2.478720	-1.217691	2.228368	2.478754	-1.217326	2.227845	2.478687	-1.218055	10	In-direct	0	2	0	2	1
N	1	1.936361	2.563441	-1.674010	1.936361	2.563441	-1.674010	1.936361	2.563441	-1.674010	10	In-direct	0	1	0	1	0
N	1	1.951906	2.557435	-1.651283	1.951906	2.557435	-1.651283	1.951906	2.557435	-1.651283	10	In-direct	0	1	0	1	0
N	1	1.940803	2.562815	-1.659495	1.940803	2.562815	-1.659495	1.940803	2.562815	-1.659495	10	In-direct	0	1	0	1	0
N	1	1.952324	2.556365	-1.638925	1.952324	2.556365	-1.638925	1.952324	2.556365	-1.638925	10	In-direct	0	1	0	1	0
N	1	1.955670	2.563365	-1.636646	1.955670	2.563365	-1.636646	1.955670	2.563365	-1.636646	10	In-direct	0	1	0	1	0
N	1	1.959716	2.557883	-1.636264	1.959716	2.557883	-1.636264	1.959716	2.557883	-1.636264	10	In-direct	0	1	0	1	0
N	1	2.081642	2.523042	-1.443897	2.081642	2.523042	-1.443897	2.081642	2.523042	-1.443897	10	Direct	1	0	0	1	0
N	1	2.085636	2.522701	-1.439166	2.085636	2.522701	-1.439166	2.085636	2.522701	-1.439166	10	In-direct	0	1	0	1	0
N	1	2.082163	2.525742	-1.441468	2.082163	2.525742	-1.441468	2.082163	2.525742	-1.441468	10	In-direct	0	1	0	1	0
N	1	2.085969	2.520083	-1.439007	2.085969	2.520083	-1.439007	2.085969	2.520083	-1.439007	10	In-direct	0	1	0	1	0
N	1	2.087749	2.523900	-1.426072	2.087749	2.523900	-1.426072	2.087749	2.523900	-1.426072	10	In-direct	0	1	0	1	0
N	1	2.231453	2.481631	-1.211417	2.231453	2.481631	-1.211417	2.231453	2.481631	-1.211417	10	Direct	1	0	0	1	0
N	1	2.230602	2.481491	-1.213230	2.230602	2.481491	-1.213230	2.230602	2.481491	-1.213230	10	Direct	1	0	0	1	0
N	1	2.229063	2.483534	-1.216178	2.229063	2.483534	-1.216178	2.229063	2.483534	-1.216178	10	In-direct	0	1	0	1	0
N	1	2.219147	2.484657	-1.231068	2.219147	2.484657	-1.231068	2.219147	2.484657	-1.231068	10	In-direct	0	1	0	1	0
